
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:       10
-41.8905  21.4715  8 
-41.8869  21.5716  8 
-41.8834  21.6717  8 
-41.8798  21.7718  8 
-41.8762  21.8719  8 
-41.8726  21.972  8 
-41.869  22.0721  8 
-41.8654  22.1722  8 
-41.8618  22.2723  8 
-41.8582  22.3724  8 
-41.8546  22.4725  8 
-41.851  22.5726  8 
-41.8474  22.6727  8 
-41.8437  22.7728  8 
-41.8401  22.8729  8 
-41.8365  22.973  8 
-41.8329  23.0731  8 
-41.8293  23.1732  8 
-41.8256  23.2733  8 
-41.822  23.3734  8 
-41.8184  23.4735  8 
-41.8147  23.5736  8 
-41.8111  23.6737  8 
-41.8075  23.7738  8 
-41.8038  23.8739  8 
-41.8002  23.974  8 
-41.7965  24.0741  8 
-41.7929  24.1742  8 
-41.7892  24.2743  8 
-41.7856  24.3744  8 
-41.7819  24.4745  8 
-41.7783  24.5746  8 
-41.7746  24.6747  8 
-41.771  24.7748  8 
-41.7673  24.8749  8 
-41.7637  24.975  8 
-41.76  25.0751  8 
-41.7564  25.1752  8 
-41.7527  25.2753  8 
-41.7491  25.3754  8 
-41.7454  25.4755  8 
-41.7418  25.5756  8 
-41.7381  25.6757  8 
-41.7345  25.7758  8 
-41.7308  25.8759  8 
-41.7272  25.976  8 
-41.7235  26.0761  8 
-41.7199  26.1762  8 
-41.7162  26.2763  8 
-41.7126  26.3764  8 
-41.7089  26.4765  8 
-41.7053  26.5766  8 
-41.7016  26.6767  8 
-41.698  26.7768  8 
-41.6943  26.8769  8 
-41.6907  26.977  8 
-41.687  27.0771  8 
-41.6834  27.1772  8 
-41.6798  27.2773  8 
-41.6761  27.3774  8 
-41.6725  27.4775  8 
-41.6689  27.5776  8 
-41.6652  27.6777  8 
-41.6616  27.7778  8 
-41.658  27.8779  8 
-41.6543  27.978  8 
-41.6507  28.0781  8 
-41.6471  28.1782  8 
-41.6435  28.2783  8 

-42.2687  8.75876  8 
-42.2666  8.85886  8 
-42.2645  8.95896  8 
-42.2625  9.05906  8 
-42.2603  9.15916  8 
-42.2582  9.25926  8 
-42.2561  9.35936  8 
-42.2539  9.45946  8 
-42.2517  9.55956  8 
-42.2495  9.65966  8 
-42.2473  9.75976  8 
-42.2451  9.85986  8 
-42.2428  9.95996  8 
-42.2405  10.0601  8 
-42.2382  10.1602  8 
-42.2359  10.2603  8 
-42.2336  10.3604  8 
-42.2312  10.4605  8 
-42.2289  10.5606  8 
-42.2265  10.6607  8 
-42.2241  10.7608  8 
-42.2216  10.8609  8 
-42.2192  10.961  8 
-42.2167  11.0611  8 
-42.2143  11.1612  8 
-42.2118  11.2613  8 
-42.2093  11.3614  8 
-42.2067  11.4615  8 
-42.2042  11.5616  8 
-42.2016  11.6617  8 
-42.1991  11.7618  8 
