Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.37     98.66     0.44 98080194     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.37     99.09     0.43 104159889     0.00     0.00  std::vector<Value, std::allocator<Value> >::end() const
  0.37     99.51     0.43 193600295     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.36     99.93     0.42 102806457     0.00     0.00  __gnu_cxx::new_allocator<Value>::allocate(unsigned long, void const*)
  0.35    100.34     0.41 98000199     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.35    100.74     0.41 205453551     0.00     0.00  std::allocator<Value>::allocator(std::allocator<Value> const&)
  0.35    101.15     0.41 102726396     0.00     0.00  std::allocator_traits<std::allocator<Value> >::select_on_container_copy_construction(std::allocator<Value> const&)
  0.34    101.55     0.40 291680489     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.34    101.94     0.39 98000199     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.33    102.32     0.39 196000398     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.33    102.70     0.38 98000199     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.32    103.07     0.37 196010397     0.00     0.00  std::allocator<double>::~allocator()
  0.32    103.44     0.37 102726396     0.00     0.00  Value* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*>(__gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, __gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >, Value*)
  0.31    103.81     0.37 98080194     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.31    104.17     0.36 98000199     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.28    104.50     0.33 302568035     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_M_get_Tp_allocator()
  0.28    104.83     0.33 196000398     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.28    105.16     0.33 102726396     0.00     0.00  std::enable_if<!std::allocator_traits<std::allocator<Value> >::__select_helper<std::allocator<Value> const>::value, std::allocator<Value> const>::type std::allocator_traits<std::allocator<Value> >::_S_select<std::allocator<Value> const>(std::allocator<Value> const&)
  0.28    105.49     0.33 98080194     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.28    105.82     0.33 98010198     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.28    106.15     0.33 95510102     0.00     0.00  std::vector<double, std::allocator<double> >::clear()
  0.28    106.47     0.33 198327326     0.00     0.00  void std::_Destroy<Value*>(Value*, Value*)
  0.27    106.79     0.32    10008     0.00     0.00  std::allocator<Value>::allocator()
  0.27    107.10     0.31 196000398     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.26    107.40     0.31 208319778     0.00     0.00  __gnu_cxx::__normal_iterator<Value const*, std::vector<Value, std::allocator<Value> > >::base() const
  0.26    107.71     0.31 102806457     0.00     0.00  __gnu_cxx::new_allocator<Value>::deallocate(Value*, unsigned long)
  0.26    108.01     0.31 196000398     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.26    108.31     0.30 205463559     0.00     0.00  std::allocator<Value>::~allocator()
  0.26    108.61     0.30 98000199     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.25    108.90     0.29 196000398     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, false>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.25    109.18     0.29 102737163     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_Vector_impl::~_Vector_impl()
  0.24    109.46     0.28 198327326     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Value*>(Value*, Value*)
  0.24    109.74     0.28 102726396     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_Vector_base(unsigned long, std::allocator<Value> const&)
  0.24    110.02     0.28 98160189     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.23    110.29     0.27 196000398     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.23    110.56     0.27 95510102     0.00     0.00  std::vector<Value, std::allocator<Value> >::clear()
  0.23    110.83     0.27 98000199     0.00     0.00  std::enable_if<!std::allocator_traits<std::allocator<double> >::__select_helper<std::allocator<double> const>::value, std::allocator<double> const>::type std::allocator_traits<std::allocator<double> >::_S_select<std::allocator<double> const>(std::allocator<double> const&)
  0.22    111.08     0.26 205453551     0.00     0.00  __gnu_cxx::new_allocator<Value>::new_allocator(__gnu_cxx::new_allocator<Value> const&)
  0.22    111.33     0.25 98000199     0.00     0.00  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.21    111.57     0.24 98000199     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.19    111.80     0.23 102966579     0.00     0.00  __gnu_cxx::new_allocator<Value>::max_size() const
  0.17    112.00     0.20 98000199     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.17    112.20     0.20        9     0.02     0.03  Grid::Grid(Grid const&)
  0.17    112.39     0.20        4     0.05     0.06  Grid::operator=(Grid const&)
  0.16    112.58     0.19                             operator delete(void*, void*)
  0.16    112.76     0.18 205463559     0.00     0.00  __gnu_cxx::new_allocator<Value>::~new_allocator()
  0.16    112.95     0.18    10008     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_Vector_impl::_Vector_impl()
  0.15    113.12     0.18 196000398     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.15    113.30     0.18 102966579     0.00     0.00  std::_Niter_base<Value*>::iterator_type std::__niter_base<Value*>(Value*)
  0.15    113.47     0.17 102886518     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_M_get_Tp_allocator() const
  0.15    113.64     0.17     9999     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.14    113.80     0.16 196010397     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.14    113.96     0.16 196000398     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.12    114.10     0.15 98240184     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.12    114.24     0.14    79995     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.11    114.37     0.13 98240184     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.11    114.50     0.13    10008     0.00     0.00  std::_Vector_base<Value, std::allocator<Value> >::_Vector_base()
  0.10    114.62     0.12 102966579     0.00     0.00  std::_Iter_base<Value*, false>::_S_base(Value*)
  0.08    114.71     0.09    10008     0.00     0.00  std::vector<Value, std::allocator<Value> >::vector()
  0.07    114.80     0.09 98240184     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.07    114.88     0.09     5284     0.00     0.00  void std::_Destroy<Coordinate*>(Coordinate*, Coordinate*)
  0.07    114.96     0.08    79995     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.07    115.04     0.08     9999     0.00     0.00  std::allocator<double>::allocator()
  0.06    115.11     0.07    79995     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_emplace_back_aux<double>(double&&)
  0.06    115.18     0.07    79995     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.06    115.25     0.07   159990     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.05    115.31     0.06                             std::enable_if<std::allocator_traits<std::allocator<double> >::__destroy_helper<double>::value, void>::type std::allocator_traits<std::allocator<double> >::_S_destroy<double>(std::allocator<double>&, double*)
  0.05    115.36     0.06    79995     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.04    115.41     0.05  4772376     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<Value, std::allocator<Value> > const*, std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > > >(__gnu_cxx::__normal_iterator<std::vector<Value, std::allocator<Value> > const*, std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<Value, std::allocator<Value> > const*, std::vector<std::vector<Value, std::allocator<Value> >, std::allocator<std::vector<Value, std::allocator<Value> > > > > const&)
  0.04    115.46     0.05     9999     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
